pillar,seed,collapse_rate,intervene_rate
STEM,395,0.046875,0.3463541666666667
STEM,381,0.049479166666666664,0.3515625
STEM,418,0.049479166666666664,0.3541666666666667
STEM,430,0.033854166666666664,0.34375
STEM,356,0.036458333333333336,0.3463541666666667
STEM,342,0.0390625,0.3515625
STEM,424,0.046875,0.3567708333333333
STEM,197,0.0625,0.359375
STEM,183,0.0703125,0.3489583333333333
STEM,168,0.06510416666666667,0.3541666666666667
STEM,154,0.046875,0.34375
STEM,140,0.06770833333333333,0.3619791666666667
STEM,178,0.041666666666666664,0.34375
STEM,144,0.052083333333333336,0.3567708333333333
STEM,150,0.07291666666666667,0.3645833333333333
STEM,187,0.046875,0.359375
STEM,193,0.044270833333333336,0.3541666666666667
STEM,408,0.044270833333333336,0.34375
STEM,420,0.06770833333333333,0.3463541666666667
STEM,346,0.059895833333333336,0.3541666666666667
STEM,352,0.046875,0.359375
STEM,434,0.046875,0.3463541666666667
STEM,385,0.036458333333333336,0.3411458333333333
STEM,391,0.06510416666666667,0.359375
STEM,232,0.044270833333333336,0.3411458333333333
STEM,226,0.059895833333333336,0.3489583333333333
STEM,20,0.0546875,0.3541666666666667
STEM,34,0.036458333333333336,0.3515625
STEM,35,0.0625,0.3489583333333333
STEM,21,0.059895833333333336,0.3541666666666667
STEM,227,0.06510416666666667,0.3489583333333333
STEM,233,0.059895833333333336,0.359375
STEM,390,0.033854166666666664,0.3463541666666667
STEM,384,0.052083333333333336,0.34375
STEM,353,0.0234375,0.3489583333333333
STEM,435,0.033854166666666664,0.3411458333333333
STEM,421,0.0078125,0.3359375
STEM,347,0.059895833333333336,0.3489583333333333
STEM,409,0.0390625,0.3489583333333333
STEM,192,0.049479166666666664,0.3463541666666667
STEM,186,0.049479166666666664,0.359375
STEM,151,0.052083333333333336,0.3515625
STEM,145,0.03125,0.3411458333333333
STEM,179,0.07291666666666667,0.3463541666666667
STEM,153,0.057291666666666664,0.3385416666666667
STEM,147,0.059895833333333336,0.3567708333333333
STEM,190,0.06510416666666667,0.3515625
STEM,184,0.026041666666666668,0.3385416666666667
STEM,379,0.0390625,0.3463541666666667
STEM,437,0.044270833333333336,0.34375
STEM,351,0.0625,0.3645833333333333
STEM,345,0.052083333333333336,0.34375
STEM,423,0.07552083333333333,0.359375
STEM,392,0.0625,0.359375
STEM,386,0.078125,0.3619791666666667
STEM,219,0.0390625,0.3463541666666667
STEM,225,0.041666666666666664,0.3489583333333333
STEM,231,0.041666666666666664,0.3489583333333333
STEM,37,0.046875,0.3489583333333333
STEM,23,0.052083333333333336,0.3515625
STEM,22,0.057291666666666664,0.3463541666666667
STEM,36,0.033854166666666664,0.3463541666666667
STEM,230,0.059895833333333336,0.3541666666666667
STEM,224,0.049479166666666664,0.3411458333333333
STEM,218,0.03125,0.3489583333333333
STEM,387,0.057291666666666664,0.34375
STEM,393,0.052083333333333336,0.3515625
STEM,344,0.0703125,0.3515625
STEM,422,0.0234375,0.3411458333333333
STEM,436,0.06510416666666667,0.3567708333333333
STEM,350,0.0390625,0.3385416666666667
STEM,378,0.078125,0.3541666666666667
STEM,185,0.044270833333333336,0.3541666666666667
STEM,191,0.06770833333333333,0.3541666666666667
STEM,146,0.046875,0.3515625
STEM,152,0.0703125,0.359375
META,252,0.0078125,0.015625
META,246,0.0078125,0.015625
META,291,0.0078125,0.015625
META,285,0.0078125,0.015625
META,87,0.0078125,0.015625
META,93,0.0078125,0.015625
META,44,0.0078125,0.015625
META,50,0.0078125,0.015625
META,78,0.0078125,0.015625
META,124,0.0078125,0.015625
META,130,0.0078125,0.015625
META,118,0.0078125,0.015625
META,326,0.0078125,0.015625
META,440,0.0078125,0.015625
META,454,0.0078125,0.015625
META,332,0.0078125,0.015625
META,468,0.0078125,0.015625
META,483,0.0078125,0.015625
META,497,0.0078125,0.015625
META,496,0.0078125,0.015625
META,482,0.0078125,0.015625
META,469,0.0078125,0.015625
META,455,0.0078125,0.015625
META,333,0.0078125,0.015625
META,327,0.0078125,0.015625
META,441,0.0078125,0.015625
META,119,0.0078125,0.015625
META,131,0.0078125,0.015625
META,125,0.0078125,0.015625
META,79,0.0078125,0.015625
META,51,0.0078125,0.015625
META,45,0.0078125,0.015625
META,92,0.0078125,0.015625
