exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,controlled,HUM,3,gpt2,3,1,BUDGET_EXCEEDED,1,REP,1,1,REP,1,BUDGET_EXHAUSTED,1,427,100,0.234192037470726,110.0,24.189743041992188,31.0
vNEXT-RE30,controlled,HUM,4,gpt2,4,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,76,0.1425891181988743,70.0,32.89024329185486,48.0
vNEXT-RE30,controlled,HUM,5,gpt2,5,0,NONE,0,NONE,0,0,NONE,0,NONE,1,514,14,0.027237354085603113,142.0,36.99631094932556,7.0
vNEXT-RE30,controlled,HUM,6,gpt2,6,0,NONE,0,NONE,0,0,NONE,0,NONE,1,543,30,0.055248618784530384,33.0,36.95957827568054,44.0
vNEXT-RE30,controlled,HUM,7,gpt2,7,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,58,0.10902255639097744,53.0,35.96730184555054,90.0
vNEXT-RE30,controlled,HUM,8,gpt2,8,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,67,0.12593984962406016,113.0,32.50228691101074,23.0
vNEXT-RE30,controlled,HUM,9,gpt2,9,0,NONE,0,NONE,0,0,NONE,0,NONE,1,538,22,0.040892193308550186,168.0,33.85330891609192,0.0
vNEXT-RE30,controlled,HUM,10,gpt2,10,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,45,0.08442776735459662,84.0,41.55726885795593,44.0
vNEXT-RE30,controlled,HUM,11,gpt2,11,0,NONE,0,NONE,0,0,NONE,0,NONE,1,303,60,0.19801980198019803,55.0,17.136466026306152,83.0
vNEXT-RE30,controlled,HUM,12,gpt2,12,0,NONE,0,NONE,0,0,NONE,0,NONE,1,544,5,0.009191176470588236,135.0,45.976752042770386,12.0
vNEXT-RE30,controlled,HUM,13,gpt2,13,0,NONE,0,NONE,0,0,NONE,0,NONE,1,537,62,0.1154562383612663,99.0,32.698829889297485,19.0
vNEXT-RE30,controlled,HUM,14,gpt2,14,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,37,0.06981132075471698,52.0,39.17780113220215,37.0
vNEXT-RE30,controlled,HUM,15,gpt2,15,0,NONE,0,NONE,0,0,NONE,0,NONE,1,539,13,0.02411873840445269,248.0,38.46471905708313,0.0
