exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-ctrl100,controlled100,TEMP,26,gpt2,26,0,NONE,0,NONE,0,0,105,0,0.0,,4.169217109680176,0.0
vNEXT-ctrl100,controlled100,TEMP,27,gpt2,27,0,NONE,0,NONE,0,1,530,21,0.03962264150943396,181.0,37.08911728858948,1.0
vNEXT-ctrl100,controlled100,TEMP,28,gpt2,28,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.41724276542663574,0.0
vNEXT-ctrl100,controlled100,TEMP,29,gpt2,29,0,NONE,0,NONE,0,1,530,92,0.17358490566037735,113.0,31.123013734817505,11.0
vNEXT-ctrl200,controlled200,TEMP,0,gpt2,0,0,NONE,0,NONE,0,1,262,42,0.16030534351145037,81.0,15.293353796005249,54.0
vNEXT-ctrl200,controlled200,TEMP,1,gpt2,1,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.3558340072631836,0.0
vNEXT-ctrl200,controlled200,TEMP,2,gpt2,2,0,NONE,0,NONE,0,1,549,35,0.06375227686703097,102.0,36.65686392784119,29.0
vNEXT-ctrl200,controlled200,TEMP,3,gpt2,3,0,NONE,0,NONE,0,1,531,116,0.2184557438794727,85.0,30.861178874969482,54.0
vNEXT-ctrl200,controlled200,TEMP,4,gpt2,4,0,NONE,0,NONE,0,1,180,21,0.11666666666666667,82.0,8.969637870788574,46.0
vNEXT-ctrl200,controlled200,TEMP,5,gpt2,5,0,NONE,0,NONE,0,1,531,103,0.19397363465160075,112.0,31.18497896194458,23.0
vNEXT-ctrl200,controlled200,TEMP,6,gpt2,6,0,NONE,0,NONE,0,1,530,72,0.13584905660377358,43.0,33.21137285232544,97.0
vNEXT-ctrl200,controlled200,TEMP,7,gpt2,7,0,NONE,0,NONE,0,1,529,42,0.07939508506616257,55.0,35.33825612068176,59.0
vNEXT-ctrl200,controlled200,TEMP,8,gpt2,8,0,NONE,0,NONE,0,1,530,18,0.033962264150943396,118.0,38.627192735672,16.0
vNEXT-ctrl200,controlled200,TEMP,9,gpt2,9,0,NONE,0,NONE,0,1,531,43,0.08097928436911488,119.0,32.0070858001709,15.0
vNEXT-ctrl200,controlled200,TEMP,10,gpt2,10,0,NONE,0,NONE,0,1,528,57,0.10795454545454546,72.0,32.88329601287842,29.0
vNEXT-ctrl200,controlled200,TEMP,11,gpt2,11,0,NONE,0,NONE,0,0,175,0,0.0,,8.577592849731445,0.0
vNEXT-ctrl200,controlled200,TEMP,12,gpt2,12,1,TOO_SHORT,1,TOO_SHORT,0,0,51,0,0.0,,1.545564889907837,0.0
vNEXT-ctrl200,controlled200,TEMP,13,gpt2,13,1,TOO_SHORT,1,TOO_SHORT,0,0,33,0,0.0,,0.7987940311431885,0.0
vNEXT-ctrl200,controlled200,TEMP,14,gpt2,14,0,NONE,0,NONE,0,1,533,51,0.09568480300187618,83.0,35.503028869628906,47.0
vNEXT-ctrl200,controlled200,TEMP,15,gpt2,15,1,TOO_SHORT,1,TOO_SHORT,0,0,28,0,0.0,,0.5310747623443604,0.0
vNEXT-ctrl200,controlled200,TEMP,16,gpt2,16,0,NONE,0,NONE,0,1,529,36,0.06805293005671077,148.0,36.456762075424194,10.0
vNEXT-ctrl200,controlled200,TEMP,17,gpt2,17,0,NONE,0,NONE,0,0,83,0,0.0,,2.8680808544158936,0.0
vNEXT-ctrl200,controlled200,TEMP,18,gpt2,18,0,NONE,0,NONE,0,1,527,60,0.11385199240986717,114.0,31.335992097854614,22.0
vNEXT-ctrl200,controlled200,TEMP,19,gpt2,19,0,NONE,0,NONE,0,1,527,89,0.16888045540796964,77.0,31.19987201690674,49.0
vNEXT-ctrl200,controlled200,TEMP,20,gpt2,20,0,NONE,0,NONE,0,1,532,53,0.09962406015037593,106.0,31.624993085861206,16.0
vNEXT-ctrl200,controlled200,TEMP,21,gpt2,21,0,NONE,0,NONE,0,1,527,87,0.1650853889943074,103.0,31.008909702301025,21.0
vNEXT-ctrl200,controlled200,TEMP,22,gpt2,22,0,NONE,0,NONE,0,1,527,9,0.017077798861480076,281.0,38.71028923988342,0.0
vNEXT-ctrl200,controlled200,TEMP,23,gpt2,23,0,NONE,0,NONE,0,1,529,30,0.05671077504725898,114.0,36.367278814315796,13.0
vNEXT-ctrl200,controlled200,TEMP,24,gpt2,24,0,NONE,0,NONE,0,1,529,103,0.1947069943289225,63.0,31.360081911087036,64.0
vNEXT-ctrl200,controlled200,TEMP,25,gpt2,25,0,NONE,0,NONE,0,1,531,96,0.1807909604519774,95.0,31.740084409713745,34.0
vNEXT-ctrl200,controlled200,TEMP,26,gpt2,26,0,NONE,0,NONE,0,0,105,0,0.0,,4.187951326370239,0.0
vNEXT-ctrl200,controlled200,TEMP,27,gpt2,27,0,NONE,0,NONE,0,1,530,21,0.03962264150943396,181.0,37.591020822525024,1.0
vNEXT-ctrl200,controlled200,TEMP,28,gpt2,28,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.4201788902282715,0.0
vNEXT-ctrl200,controlled200,TEMP,29,gpt2,29,0,NONE,0,NONE,0,1,530,92,0.17358490566037735,113.0,31.25903010368347,11.0
