exp_id,mode,pillar,seed,seed_source,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,12,meta,gemma:7b,12,0,NONE,0,NONE,0,0,NONE,0,NONE,1,38,8,0.21052631578947367,,18.990885019302368,122.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,13,meta,gemma:7b,13,0,NONE,0,NONE,0,0,NONE,0,NONE,1,90,6,0.06666666666666667,,19.172526121139526,232.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,14,meta,gemma:7b,14,0,NONE,0,NONE,0,0,NONE,0,NONE,1,61,8,0.13114754098360656,,18.893075942993164,227.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,15,meta,gemma:7b,15,0,NONE,0,NONE,0,0,NONE,0,NONE,1,32,12,0.375,,19.96928882598877,88.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,16,meta,gemma:7b,16,0,NONE,0,NONE,0,0,NONE,0,NONE,1,45,10,0.2222222222222222,,19.406362771987915,132.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,17,meta,gemma:7b,17,0,NONE,0,NONE,0,0,NONE,0,NONE,1,26,14,0.5384615384615384,,20.207717180252075,169.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,18,meta,gemma:7b,18,0,NONE,0,NONE,0,0,NONE,0,NONE,1,126,8,0.06349206349206349,,19.010754823684692,308.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,19,meta,gemma:7b,19,0,NONE,0,NONE,0,0,NONE,0,NONE,1,93,6,0.06451612903225806,,18.881457090377808,161.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,20,meta,gemma:7b,20,0,NONE,0,NONE,0,0,NONE,0,NONE,1,57,6,0.10526315789473684,,18.408715963363647,126.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,21,meta,gemma:7b,21,0,NONE,0,NONE,0,0,NONE,0,NONE,1,92,7,0.07608695652173914,,18.504237174987793,227.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,22,meta,gemma:7b,22,0,NONE,0,NONE,0,0,NONE,0,NONE,1,111,5,0.04504504504504504,,18.660988807678223,154.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,23,meta,gemma:7b,23,0,NONE,0,NONE,0,0,NONE,0,NONE,1,66,13,0.19696969696969696,,19.79211115837097,353.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,24,meta,gemma:7b,24,0,NONE,0,NONE,0,0,NONE,0,NONE,1,70,6,0.08571428571428572,,19.39242696762085,130.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,25,meta,gemma:7b,25,0,NONE,0,NONE,0,0,NONE,0,NONE,1,93,7,0.07526881720430108,,18.712764978408813,180.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,26,meta,gemma:7b,26,0,NONE,0,NONE,0,0,NONE,0,NONE,1,61,9,0.14754098360655737,,18.92424988746643,166.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,27,meta,gemma:7b,27,0,NONE,0,NONE,0,0,NONE,0,NONE,1,287,2,0.006968641114982578,,19.9659640789032,69.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,28,meta,gemma:7b,28,0,NONE,0,NONE,0,0,NONE,0,NONE,1,90,6,0.06666666666666667,,18.786374807357788,176.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,29,meta,gemma:7b,29,0,NONE,0,NONE,0,0,NONE,0,NONE,1,116,7,0.0603448275862069,,19.42592167854309,248.0
